[2026-06-03T15:14:48.659+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, , completion-tokens, , total-tokens, , cost-ms, 841, requestId, , temperature, 0
[2026-06-03T15:14:50.933+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, , completion-tokens, , total-tokens, , cost-ms, 3115, requestId, , temperature, 0
[2026-06-03T15:15:45.391+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 9915, completion-tokens, 152, total-tokens, 10067, cost-ms, 8167, requestId, , temperature, 0
[2026-06-03T15:15:54.560+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 10110, completion-tokens, 108, total-tokens, 10218, cost-ms, 6786, requestId, , temperature, 0
[2026-06-03T15:16:07.438+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 10289, completion-tokens, 244, total-tokens, 10533, cost-ms, 9054, requestId, , temperature, 0
[2026-06-03T15:17:13.754+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 9915, completion-tokens, 117, total-tokens, 10032, cost-ms, 7476, requestId, , temperature, 0
[2026-06-03T15:17:22.724+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 10091, completion-tokens, 137, total-tokens, 10228, cost-ms, 6740, requestId, , temperature, 0
[2026-06-03T15:17:35.230+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 10292, completion-tokens, 252, total-tokens, 10544, cost-ms, 8912, requestId, , temperature, 0
[2026-06-03T15:17:47.759+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 10558, completion-tokens, 192, total-tokens, 10750, cost-ms, 10414, requestId, , temperature, 0
[2026-06-03T15:18:00.362+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 10778, completion-tokens, 212, total-tokens, 10990, cost-ms, 10340, requestId, , temperature, 0
[2026-06-03T15:21:39.102+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 9915, completion-tokens, 233, total-tokens, 10148, cost-ms, 12521, requestId, , temperature, 0
[2026-06-03T15:21:50.153+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 10168, completion-tokens, 146, total-tokens, 10314, cost-ms, 8786, requestId, , temperature, 0
[2026-06-03T15:22:04.512+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 10384, completion-tokens, 77, total-tokens, 10461, cost-ms, 10689, requestId, , temperature, 0
[2026-06-03T15:22:15.889+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 9911, completion-tokens, 225, total-tokens, 10136, cost-ms, 9924, requestId, , temperature, 0
[2026-06-03T15:22:26.486+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 10154, completion-tokens, 148, total-tokens, 10302, cost-ms, 8310, requestId, , temperature, 0
[2026-06-03T15:25:07.218+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 9935, completion-tokens, 296, total-tokens, 10231, cost-ms, 13403, requestId, , temperature, 0
[2026-06-03T15:25:19.531+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 10216, completion-tokens, 247, total-tokens, 10463, cost-ms, 10066, requestId, , temperature, 0
[2026-06-03T15:25:31.839+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 10469, completion-tokens, 141, total-tokens, 10610, cost-ms, 10076, requestId, , temperature, 0
[2026-06-03T15:25:45.497+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 10698, completion-tokens, 176, total-tokens, 10874, cost-ms, 10562, requestId, , temperature, 0
[2026-06-03T15:25:59.762+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 10970, completion-tokens, 127, total-tokens, 11097, cost-ms, 12011, requestId, , temperature, 0
[2026-06-03T15:26:13.084+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 11214, completion-tokens, 107, total-tokens, 11321, cost-ms, 10234, requestId, , temperature, 0
[2026-06-03T15:26:24.380+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 11461, completion-tokens, 101, total-tokens, 11562, cost-ms, 9218, requestId, , temperature, 0
