[2026-06-03T14:22:24.857+08:00] Found 1 connected devices:  [ { udid: 'R5CX10CP7XX', state: 'device' } ]
[2026-06-03T14:29:35.504+08:00] Found 1 connected devices:  [ { udid: 'R5CX10CP7XX', state: 'device' } ]
[2026-06-03T14:56:19.650+08:00] Found 1 connected devices:  [ { udid: 'R5CX10CP7XX', state: 'device' } ]
[2026-06-03T14:58:15.120+08:00] Found 1 connected devices:  [ { udid: 'R5CX10CP7XX', state: 'device' } ]
[2026-06-03T14:58:54.171+08:00] Found 1 connected devices:  [ { udid: 'R5CX10CP7XX', state: 'device' } ]
[2026-06-03T15:00:56.786+08:00] Found 1 connected devices:  [ { udid: 'R5CX10CP7XX', state: 'device' } ]
[2026-06-03T15:14:39.878+08:00] Found 1 connected devices:  [ { udid: 'R5CX10CP7XX', state: 'device' } ]
[2026-06-03T15:15:29.977+08:00] Found 1 connected devices:  [ { udid: 'R5CX10CP7XX', state: 'device' } ]
[2026-06-03T15:16:58.952+08:00] Found 1 connected devices:  [ { udid: 'R5CX10CP7XX', state: 'device' } ]
[2026-06-03T15:21:19.692+08:00] Found 1 connected devices:  [ { udid: 'R5CX10CP7XX', state: 'device' } ]
[2026-06-03T15:24:46.129+08:00] Found 1 connected devices:  [ { udid: 'R5CX10CP7XX', state: 'device' } ]
[2026-06-03T15:31:26.606+08:00] Found 1 connected devices:  [ { udid: 'R5CX10CP7XX', state: 'device' } ]
[2026-06-03T15:34:00.428+08:00] Found 1 connected devices:  [ { udid: 'R5CX10CP7XX', state: 'device' } ]
[2026-06-03T15:36:11.993+08:00] Found 1 connected devices:  [ { udid: 'R5CX10CP7XX', state: 'device' } ]
[2026-06-03T15:39:27.240+08:00] Found 1 connected devices:  [ { udid: 'R5CX10CP7XX', state: 'device' } ]
[2026-06-03T15:43:30.384+08:00] Found 1 connected devices:  [ { udid: 'R5CX10CP7XX', state: 'device' } ]
[2026-06-03T15:46:27.317+08:00] Found 1 connected devices:  [ { udid: 'R5CX10CP7XX', state: 'device' } ]
[2026-06-03T16:11:37.336+08:00] Found 1 connected devices:  [ { udid: 'R5CX10CP7XX', state: 'device' } ]
[2026-06-03T16:16:40.057+08:00] Found 1 connected devices:  [ { udid: 'R5CX10CP7XX', state: 'device' } ]
[2026-06-03T16:18:20.617+08:00] Found 1 connected devices:  [ { udid: 'R5CX10CP7XX', state: 'device' } ]
[2026-06-03T16:26:32.898+08:00] Found 1 connected devices:  [ { udid: 'R5CX10CP7XX', state: 'device' } ]
[2026-06-03T16:44:45.240+08:00] Found 1 connected devices:  [ { udid: 'R5CX10CP7XX', state: 'device' } ]
[2026-06-03T16:46:25.998+08:00] Found 1 connected devices:  [ { udid: 'R5CX10CP7XX', state: 'device' } ]
[2026-06-03T17:03:02.373+08:00] Found 1 connected devices:  [ { udid: 'R5CX10CP7XX', state: 'device' } ]
[2026-06-03T17:04:42.953+08:00] Found 1 connected devices:  [ { udid: 'R5CX10CP7XX', state: 'device' } ]
[2026-06-03T17:08:41.697+08:00] Found 1 connected devices:  [ { udid: 'R5CX10CP7XX', state: 'device' } ]
[2026-06-03T17:10:21.769+08:00] Found 1 connected devices:  [ { udid: 'R5CX10CP7XX', state: 'device' } ]
[2026-06-03T17:22:37.451+08:00] Found 1 connected devices:  [ { udid: 'R5CX10CP7XX', state: 'device' } ]
